Step      Train loss    Test loss     Test metric   
180000    [3.70e-06]    [3.62e-06]    [3.04e-02]    
181000    [3.72e-06]    [3.64e-06]    [3.04e-02]    
182000    [3.88e-06]    [3.79e-06]    [3.08e-02]    
183000    [3.64e-06]    [3.59e-06]    [3.03e-02]    
184000    [3.75e-06]    [3.70e-06]    [3.06e-02]    
185000    [3.96e-06]    [3.85e-06]    [3.09e-02]    
186000    [3.80e-06]    [3.70e-06]    [3.05e-02]    
187000    [3.83e-06]    [3.78e-06]    [3.07e-02]    
188000    [3.91e-06]    [3.84e-06]    [3.09e-02]    
189000    [3.59e-06]    [3.54e-06]    [3.01e-02]    
190000    [3.75e-06]    [3.65e-06]    [3.03e-02]    
191000    [3.57e-06]    [3.50e-06]    [2.99e-02]    
192000    [3.57e-06]    [3.51e-06]    [3.00e-02]    
193000    [3.57e-06]    [3.51e-06]    [3.00e-02]    
194000    [3.65e-06]    [3.57e-06]    [3.01e-02]    
195000    [3.59e-06]    [3.50e-06]    [2.99e-02]    
196000    [3.60e-06]    [3.52e-06]    [3.01e-02]    
197000    [3.68e-06]    [3.60e-06]    [3.02e-02]    
198000    [3.54e-06]    [3.43e-06]    [2.98e-02]    
199000    [3.58e-06]    [3.47e-06]    [2.99e-02]    
200000    [3.61e-06]    [3.51e-06]    [2.99e-02]    
201000    [3.62e-06]    [3.49e-06]    [2.99e-02]    
202000    [3.69e-06]    [3.57e-06]    [3.00e-02]    
203000    [3.47e-06]    [3.36e-06]    [2.95e-02]    
204000    [3.58e-06]    [3.48e-06]    [2.99e-02]    
205000    [3.44e-06]    [3.32e-06]    [2.95e-02]    
206000    [3.45e-06]    [3.32e-06]    [2.95e-02]    
207000    [3.63e-06]    [3.51e-06]    [3.00e-02]    
208000    [3.47e-06]    [3.33e-06]    [2.95e-02]    
209000    [3.49e-06]    [3.39e-06]    [2.96e-02]    
210000    [3.52e-06]    [3.40e-06]    [2.97e-02]    
211000    [3.51e-06]    [3.40e-06]    [2.97e-02]    
212000    [3.44e-06]    [3.32e-06]    [2.95e-02]    
213000    [3.40e-06]    [3.27e-06]    [2.93e-02]    
214000    [3.39e-06]    [3.26e-06]    [2.93e-02]    
215000    [3.36e-06]    [3.25e-06]    [2.92e-02]    
216000    [3.49e-06]    [3.37e-06]    [2.95e-02]    
217000    [3.50e-06]    [3.38e-06]    [2.95e-02]    
218000    [3.86e-06]    [3.70e-06]    [3.04e-02]    
219000    [3.41e-06]    [3.29e-06]    [2.93e-02]    
220000    [3.59e-06]    [3.44e-06]    [2.97e-02]    
221000    [3.34e-06]    [3.21e-06]    [2.91e-02]    
222000    [3.49e-06]    [3.37e-06]    [2.95e-02]    
223000    [3.30e-06]    [3.19e-06]    [2.90e-02]    
224000    [3.44e-06]    [3.30e-06]    [2.93e-02]    
225000    [3.32e-06]    [3.20e-06]    [2.90e-02]    
226000    [3.31e-06]    [3.19e-06]    [2.90e-02]    
227000    [3.50e-06]    [3.36e-06]    [2.94e-02]    
228000    [3.30e-06]    [3.18e-06]    [2.89e-02]    
229000    [3.37e-06]    [3.26e-06]    [2.91e-02]    
230000    [3.27e-06]    [3.15e-06]    [2.88e-02]    
231000    [3.49e-06]    [3.38e-06]    [2.94e-02]    
232000    [3.35e-06]    [3.23e-06]    [2.90e-02]    
233000    [3.40e-06]    [3.28e-06]    [2.91e-02]    
234000    [3.27e-06]    [3.14e-06]    [2.87e-02]    
235000    [3.41e-06]    [3.27e-06]    [2.91e-02]    
236000    [3.27e-06]    [3.15e-06]    [2.87e-02]    
237000    [3.22e-06]    [3.11e-06]    [2.86e-02]    
238000    [3.24e-06]    [3.12e-06]    [2.86e-02]    
239000    [3.25e-06]    [3.14e-06]    [2.86e-02]    
240000    [3.29e-06]    [3.16e-06]    [2.87e-02]    
241000    [3.34e-06]    [3.21e-06]    [2.88e-02]    
242000    [3.22e-06]    [3.10e-06]    [2.85e-02]    
243000    [3.61e-06]    [3.49e-06]    [2.95e-02]    
244000    [3.16e-06]    [3.05e-06]    [2.84e-02]    
245000    [3.32e-06]    [3.18e-06]    [2.87e-02]    
246000    [3.19e-06]    [3.08e-06]    [2.84e-02]    
247000    [3.22e-06]    [3.10e-06]    [2.85e-02]    
248000    [3.23e-06]    [3.10e-06]    [2.85e-02]    
249000    [3.16e-06]    [3.04e-06]    [2.83e-02]    
250000    [3.13e-06]    [3.02e-06]    [2.82e-02]    
