Step      Train loss    Test loss     Test metric   
160000    [1.33e-02]    [1.36e-02]    [2.60e-01]    
161000    [1.32e-02]    [1.35e-02]    [2.59e-01]    
162000    [1.32e-02]    [1.35e-02]    [2.59e-01]    
163000    [1.32e-02]    [1.34e-02]    [2.59e-01]    
164000    [1.31e-02]    [1.34e-02]    [2.58e-01]    
165000    [1.31e-02]    [1.34e-02]    [2.59e-01]    
166000    [1.31e-02]    [1.34e-02]    [2.58e-01]    
167000    [1.30e-02]    [1.33e-02]    [2.58e-01]    
168000    [1.30e-02]    [1.34e-02]    [2.58e-01]    
169000    [1.29e-02]    [1.33e-02]    [2.57e-01]    
170000    [1.29e-02]    [1.33e-02]    [2.57e-01]    
171000    [1.29e-02]    [1.33e-02]    [2.57e-01]    
172000    [1.28e-02]    [1.32e-02]    [2.57e-01]    
173000    [1.28e-02]    [1.31e-02]    [2.56e-01]    
174000    [1.27e-02]    [1.31e-02]    [2.56e-01]    
175000    [1.27e-02]    [1.31e-02]    [2.55e-01]    
176000    [1.27e-02]    [1.31e-02]    [2.55e-01]    
177000    [1.26e-02]    [1.30e-02]    [2.55e-01]    
178000    [1.26e-02]    [1.30e-02]    [2.55e-01]    
179000    [1.26e-02]    [1.30e-02]    [2.54e-01]    
180000    [1.25e-02]    [1.29e-02]    [2.54e-01]    
181000    [1.25e-02]    [1.29e-02]    [2.53e-01]    
182000    [1.24e-02]    [1.28e-02]    [2.53e-01]    
183000    [1.24e-02]    [1.28e-02]    [2.53e-01]    
184000    [1.23e-02]    [1.28e-02]    [2.52e-01]    
185000    [1.23e-02]    [1.27e-02]    [2.52e-01]    
186000    [1.22e-02]    [1.27e-02]    [2.51e-01]    
187000    [1.22e-02]    [1.27e-02]    [2.51e-01]    
188000    [1.22e-02]    [1.26e-02]    [2.50e-01]    
189000    [1.21e-02]    [1.26e-02]    [2.50e-01]    
190000    [1.20e-02]    [1.25e-02]    [2.49e-01]    
191000    [1.21e-02]    [1.26e-02]    [2.50e-01]    
192000    [1.19e-02]    [1.25e-02]    [2.49e-01]    
193000    [1.19e-02]    [1.25e-02]    [2.49e-01]    
194000    [1.18e-02]    [1.24e-02]    [2.48e-01]    
195000    [1.18e-02]    [1.23e-02]    [2.48e-01]    
196000    [1.17e-02]    [1.23e-02]    [2.47e-01]    
197000    [1.17e-02]    [1.23e-02]    [2.47e-01]    
198000    [1.17e-02]    [1.22e-02]    [2.47e-01]    
199000    [1.17e-02]    [1.23e-02]    [2.47e-01]    
200000    [1.16e-02]    [1.21e-02]    [2.46e-01]    
201000    [1.15e-02]    [1.21e-02]    [2.46e-01]    
202000    [1.15e-02]    [1.20e-02]    [2.46e-01]    
203000    [1.14e-02]    [1.20e-02]    [2.46e-01]    
204000    [1.14e-02]    [1.20e-02]    [2.46e-01]    
205000    [1.13e-02]    [1.19e-02]    [2.45e-01]    
206000    [1.12e-02]    [1.18e-02]    [2.45e-01]    
207000    [1.12e-02]    [1.18e-02]    [2.45e-01]    
208000    [1.11e-02]    [1.17e-02]    [2.44e-01]    
209000    [1.11e-02]    [1.17e-02]    [2.45e-01]    
210000    [1.10e-02]    [1.16e-02]    [2.44e-01]    
211000    [1.10e-02]    [1.16e-02]    [2.44e-01]    
212000    [1.09e-02]    [1.15e-02]    [2.43e-01]    
213000    [1.09e-02]    [1.15e-02]    [2.43e-01]    
214000    [1.08e-02]    [1.14e-02]    [2.42e-01]    
215000    [1.08e-02]    [1.14e-02]    [2.42e-01]    
216000    [1.08e-02]    [1.13e-02]    [2.42e-01]    
217000    [1.07e-02]    [1.13e-02]    [2.41e-01]    
218000    [1.06e-02]    [1.12e-02]    [2.41e-01]    
219000    [1.06e-02]    [1.12e-02]    [2.41e-01]    
220000    [1.05e-02]    [1.11e-02]    [2.40e-01]    
221000    [1.05e-02]    [1.11e-02]    [2.40e-01]    
222000    [1.04e-02]    [1.10e-02]    [2.40e-01]    
223000    [1.04e-02]    [1.09e-02]    [2.39e-01]    
224000    [1.04e-02]    [1.09e-02]    [2.39e-01]    
225000    [1.03e-02]    [1.09e-02]    [2.39e-01]    
226000    [1.03e-02]    [1.08e-02]    [2.39e-01]    
227000    [1.02e-02]    [1.08e-02]    [2.38e-01]    
228000    [1.02e-02]    [1.07e-02]    [2.38e-01]    
229000    [1.01e-02]    [1.07e-02]    [2.38e-01]    
230000    [1.01e-02]    [1.06e-02]    [2.37e-01]    
231000    [1.00e-02]    [1.05e-02]    [2.37e-01]    
232000    [1.00e-02]    [1.05e-02]    [2.37e-01]    
233000    [1.00e-02]    [1.05e-02]    [2.37e-01]    
234000    [9.95e-03]    [1.04e-02]    [2.36e-01]    
235000    [9.93e-03]    [1.04e-02]    [2.36e-01]    
236000    [9.88e-03]    [1.04e-02]    [2.36e-01]    
237000    [9.81e-03]    [1.03e-02]    [2.35e-01]    
238000    [9.79e-03]    [1.03e-02]    [2.35e-01]    
239000    [9.76e-03]    [1.02e-02]    [2.35e-01]    
240000    [9.71e-03]    [1.02e-02]    [2.35e-01]    
241000    [9.68e-03]    [1.02e-02]    [2.35e-01]    
242000    [9.65e-03]    [1.01e-02]    [2.34e-01]    
243000    [9.64e-03]    [1.01e-02]    [2.34e-01]    
244000    [9.59e-03]    [1.01e-02]    [2.34e-01]    
245000    [9.56e-03]    [1.00e-02]    [2.34e-01]    
246000    [9.54e-03]    [1.00e-02]    [2.34e-01]    
247000    [9.50e-03]    [9.95e-03]    [2.34e-01]    
248000    [9.46e-03]    [9.91e-03]    [2.34e-01]    
249000    [9.45e-03]    [9.90e-03]    [2.33e-01]    
250000    [9.41e-03]    [9.85e-03]    [2.33e-01]    
