Step      Train loss    Test loss     Test metric   
231000    [7.67e-03]    [8.05e-03]    [1.17e-01]    
232000    [7.71e-03]    [8.10e-03]    [1.17e-01]    
233000    [7.67e-03]    [8.05e-03]    [1.17e-01]    
234000    [7.62e-03]    [8.00e-03]    [1.17e-01]    
235000    [7.67e-03]    [8.04e-03]    [1.17e-01]    
236000    [7.60e-03]    [7.96e-03]    [1.17e-01]    
237000    [7.58e-03]    [7.95e-03]    [1.17e-01]    
238000    [7.63e-03]    [7.99e-03]    [1.17e-01]    
239000    [7.55e-03]    [7.91e-03]    [1.16e-01]    
240000    [7.56e-03]    [7.92e-03]    [1.16e-01]    
241000    [7.51e-03]    [7.87e-03]    [1.16e-01]    
242000    [7.50e-03]    [7.85e-03]    [1.16e-01]    
243000    [7.56e-03]    [7.90e-03]    [1.16e-01]    
244000    [7.47e-03]    [7.82e-03]    [1.16e-01]    
245000    [7.47e-03]    [7.81e-03]    [1.16e-01]    
246000    [7.46e-03]    [7.80e-03]    [1.16e-01]    
247000    [7.42e-03]    [7.76e-03]    [1.15e-01]    
248000    [7.45e-03]    [7.78e-03]    [1.16e-01]    
249000    [7.44e-03]    [7.76e-03]    [1.15e-01]    
250000    [7.40e-03]    [7.74e-03]    [1.15e-01]    
