Step      Train loss    Test loss     Test metric   
150000    [1.72e-06]    [1.69e-06]    [6.55e-02]    
151000    [2.22e-06]    [2.13e-06]    [7.00e-02]    
152000    [1.71e-06]    [1.68e-06]    [6.51e-02]    
153000    [1.96e-06]    [1.92e-06]    [6.74e-02]    
154000    [1.74e-06]    [1.70e-06]    [6.55e-02]    
155000    [1.69e-06]    [1.65e-06]    [6.49e-02]    
156000    [1.64e-06]    [1.62e-06]    [6.43e-02]    
157000    [1.64e-06]    [1.60e-06]    [6.41e-02]    
158000    [1.65e-06]    [1.63e-06]    [6.43e-02]    
159000    [1.85e-06]    [1.80e-06]    [6.62e-02]    
160000    [1.78e-06]    [1.76e-06]    [6.55e-02]    
161000    [1.68e-06]    [1.64e-06]    [6.45e-02]    
162000    [1.71e-06]    [1.67e-06]    [6.49e-02]    
163000    [1.64e-06]    [1.61e-06]    [6.41e-02]    
164000    [1.60e-06]    [1.57e-06]    [6.37e-02]    
165000    [1.66e-06]    [1.64e-06]    [6.42e-02]    
166000    [1.67e-06]    [1.65e-06]    [6.43e-02]    
167000    [1.67e-06]    [1.64e-06]    [6.42e-02]    
168000    [1.66e-06]    [1.63e-06]    [6.39e-02]    
169000    [1.70e-06]    [1.66e-06]    [6.44e-02]    
170000    [1.57e-06]    [1.55e-06]    [6.33e-02]    
171000    [1.59e-06]    [1.56e-06]    [6.32e-02]    
172000    [1.73e-06]    [1.69e-06]    [6.49e-02]    
173000    [1.57e-06]    [1.55e-06]    [6.30e-02]    
174000    [1.58e-06]    [1.56e-06]    [6.31e-02]    
175000    [1.59e-06]    [1.55e-06]    [6.29e-02]    
176000    [1.55e-06]    [1.53e-06]    [6.27e-02]    
177000    [1.68e-06]    [1.63e-06]    [6.40e-02]    
178000    [1.55e-06]    [1.52e-06]    [6.27e-02]    
179000    [1.54e-06]    [1.51e-06]    [6.25e-02]    
180000    [1.62e-06]    [1.61e-06]    [6.32e-02]    
181000    [1.52e-06]    [1.51e-06]    [6.23e-02]    
182000    [1.53e-06]    [1.50e-06]    [6.23e-02]    
183000    [1.54e-06]    [1.51e-06]    [6.23e-02]    
184000    [1.59e-06]    [1.56e-06]    [6.28e-02]    
185000    [1.56e-06]    [1.53e-06]    [6.26e-02]    
186000    [1.51e-06]    [1.49e-06]    [6.20e-02]    
187000    [1.53e-06]    [1.51e-06]    [6.20e-02]    
188000    [1.51e-06]    [1.48e-06]    [6.18e-02]    
189000    [1.56e-06]    [1.52e-06]    [6.23e-02]    
190000    [1.49e-06]    [1.47e-06]    [6.16e-02]    
191000    [1.59e-06]    [1.58e-06]    [6.26e-02]    
192000    [1.49e-06]    [1.47e-06]    [6.14e-02]    
193000    [1.49e-06]    [1.46e-06]    [6.14e-02]    
194000    [1.64e-06]    [1.61e-06]    [6.33e-02]    
195000    [1.49e-06]    [1.47e-06]    [6.14e-02]    
196000    [1.49e-06]    [1.46e-06]    [6.13e-02]    
197000    [1.45e-06]    [1.43e-06]    [6.08e-02]    
198000    [1.46e-06]    [1.43e-06]    [6.08e-02]    
199000    [1.49e-06]    [1.47e-06]    [6.11e-02]    
200000    [1.47e-06]    [1.45e-06]    [6.10e-02]    
